race_id,馬,騎手,馬番,走破時間,オッズ,通過順,着順,体重,体重変化,性,齢,斤量,上がり,人気,レース名,日付,開催,クラス,芝・ダート,距離,回り,馬場,天気,場id,場名
202006010101,コトブキノニ,横山和生,11,1:16.2,392.6,9-11,16,482,18,牝,3,54,41.2,14,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010102,リッターシュラーク,横山典弘,7,1:56.8,5.9,11-12-15-8,1,490,2,牡,3,56,39.0,3,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,ブリジャール,マーフィ,2,1:56.8,1.5,7-6-4-3,2,494,-2,牡,3,56,40.2,1,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,ジーマックス,松岡正海,16,1:57.4,5.0,3-5-4-4,3,536,8,牡,3,56,40.8,2,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,トキメキナイス,江田照男,3,1:57.7,153.8,14-13-12-9,4,462,-4,牡,3,56,40.0,9,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,ドロス,木幡巧也,10,1:57.7,14.7,9-9-7-4,5,500,4,牡,3,56,40.8,4,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,トリプルシックス,横山和生,13,1:58.0,32.9,2-2-2-1,6,466,0,牝,3,54,41.8,7,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,セイウンヒロイン,大野拓弥,12,1:58.2,18.8,6-6-4-7,7,510,2,牝,3,54,41.6,5,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,ジョウハリ,勝浦正樹,1,1:59.6,234.0,11-11-10-11,8,432,-10,牡,3,56,42.2,11,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,エリンクロノス,木幡育也,8,2:00.2,263.5,3-3-3-6,9,508,0,牡,3,54,43.8,12,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,ラインキャンドル,武藤雅,9,2:00.6,396.9,7-8-9-9,10,476,-2,牝,3,54,43.4,14,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,スズベルベット,三浦皇成,11,2:01.3,27.1,1-1-1-2,11,518,2,牝,3,54,45.2,6,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,シゲルカメレオンザ,菊沢一樹,15,2:01.4,533.9,13-13-12-14,12,472,4,牡,3,55,43.8,16,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,サンタラハシー,野中悠太,14,2:02.8,109.2,9-10-12-15,13,472,4,牝,3,53,45.1,8,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,エスケイサムソン,岩部純二,6,2:03.0,385.7,16-16-16-16,14,444,8,牡,3,56,44.0,13,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,ヒロノホマレボシ,山田敬士,5,2:03.1,482.7,14-15-10-11,15,442,20,牡,3,53,45.7,15,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010102,ティンパニ,宮崎北斗,4,2:04.9,212.7,5-4-7-13,16,506,0,牡,3,56,47.9,10,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202006010103,サザンレインボー,丸山元気,15,1:12.1,3.9,1-1,1,542,22,牡,3,56,37.3,3,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,シルバージャック,藤田菜七,6,1:12.4,3.1,3-2,2,492,-2,牡,3,53,37.4,2,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,ゼンダンロマン,松岡正海,16,1:13.7,77.5,11-9,3,452,0,牡,3,56,38.0,9,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,バルドダンサー,原田和真,1,1:13.8,14.4,6-4,4,460,4,牡,3,56,38.5,5,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,クリアミッション,大庭和弥,3,1:14.0,138.6,9-9,5,504,-6,牡,3,56,38.4,12,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,タニセンシロッコ,江田照男,7,1:14.1,133.1,4-4,6,446,-2,牡,3,56,39.0,11,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,ゴラッソゴール,菅原明良,14,1:14.2,6.8,6-7,7,466,-2,牡,3,54,38.8,4,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,レインボービーム,横山和生,4,1:14.4,304.5,12-12,8,470,0,牡,3,56,38.5,15,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,ロマンスピネル,柴田善臣,12,1:14.5,82.5,4-4,9,440,0,牝,3,54,39.4,10,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,パシスタ,宮崎北斗,9,1:14.7,23.6,2-2,10,488,0,牡,3,56,39.8,6,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,トゥーヤング,山田敬士,5,1:15.1,296.1,9-9,11,438,4,牝,3,51,39.5,14,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,トミケンリューヤー,横山武史,2,1:15.2,31.0,6-7,12,498,2,牡,3,56,39.9,7,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,ミコキャビンクルー,木幡育也,13,1:15.3,163.5,13-13,13,454,0,牝,3,52,39.2,13,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,シゲルエリス,田中勝春,11,1:15.5,36.3,13-15,14,482,6,牡,3,56,39.3,8,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,エスケイムーン,武士沢友,10,1:15.8,516.9,16-16,15,436,-2,セ,3,56,39.4,16,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010103,ロイヤルパープル,マーフィ,8,1:16.0,3.1,13-13,16,516,2,牡,3,56,39.9,1,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010104,ミッキープリンス,マーフィ,1,1:58.1,2.7,4-3-5-3,1,508,0,牡,3,56,40.2,1,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,レオファイナリスト,木幡巧也,10,1:58.2,12.7,2-3-2-1,2,478,0,牡,3,56,40.6,5,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,ホテルカリホルニア,フォーリ,15,1:58.7,6.0,6-6-5-3,3,490,0,牡,3,56,40.8,3,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,タイタンブレイン,三浦皇成,3,1:58.7,19.9,9-6-7-5,4,538,0,牡,3,56,40.6,7,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,スウィング,ミナリク,7,1:59.1,13.6,12-12-11-9,5,476,0,牡,3,56,40.7,6,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,トーセンスプリント,横山和生,5,1:59.5,142.5,8-9-7-7,6,476,0,牡,3,56,41.4,13,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,サンメディル,大野拓弥,4,2:00.1,6.4,2-2-1-2,7,492,0,牡,3,56,42.5,4,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,エメラルホープ,石橋脩,13,2:00.6,66.8,13-13-13-13,8,534,0,牡,3,56,41.4,10,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,ココアブラウン,菅原明良,11,2:00.7,180.6,6-6-7-8,9,456,0,牡,3,54,42.6,14,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,ライフオブリバイブ,畑端省吾,8,2:01.4,28.3,11-11-12-9,10,462,0,牡,3,56,42.8,8,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,ニシノハヤシゲル,田辺裕信,12,2:02.1,4.2,4-5-2-5,11,500,0,牡,3,56,44.4,2,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,スターズウィッシュ,江田照男,9,2:03.0,75.7,15-15-15-14,12,440,0,牡,3,56,42.3,11,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,パディオアヘッド,藤田菜七,16,2:03.2,35.6,14-14-14-15,13,498,0,牡,3,53,42.7,9,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,サンノーフォーク,黛弘人,6,2:04.5,222.4,9-10-7-12,14,458,0,牡,3,56,46.4,15,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,ペイシャワイルド,伴啓太,14,2:04.7,327.8,15-16-15-16,15,510,0,牝,3,54,44.1,16,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010104,アトラップレーヴ,岩部純二,2,2:05.5,82.5,1-1-4-9,16,448,0,牡,3,56,47.7,12,3歳新馬,2020年1月5日,1回中山1日目,3歳新馬,ダ,1800,右,良,晴,5,中山
202006010105,サトノフラッグ,マーフィ,6,2:01.4,1.6,3-5-4-2,1,494,2,牡,3,56,35.3,1,3歳1勝クラス,2020年1月5日,1回中山1日目,3歳1勝クラス,芝,2000,右,良,晴,5,中山
202006010105,アンサンブル,フォーリ,5,2:01.9,13.1,6-6-6-4,2,466,4,牝,3,54,35.5,6,3歳1勝クラス,2020年1月5日,1回中山1日目,3歳1勝クラス,芝,2000,右,良,晴,5,中山
202006010105,マイネルデステリョ,津村明秀,8,2:02.2,12.7,3-3-4-4,3,452,2,牡,3,56,36.1,5,3歳1勝クラス,2020年1月5日,1回中山1日目,3歳1勝クラス,芝,2000,右,良,晴,5,中山
202006010105,フローズンスタイル,田辺裕信,9,2:02.3,4.4,2-2-2-2,4,460,14,牝,3,54,36.4,2,3歳1勝クラス,2020年1月5日,1回中山1日目,3歳1勝クラス,芝,2000,右,良,晴,5,中山
202006010105,ルトロヴァイユ,吉田豊,1,2:02.4,11.5,9-9-8-9,5,470,14,牝,3,54,35.9,4,3歳1勝クラス,2020年1月5日,1回中山1日目,3歳1勝クラス,芝,2000,右,良,晴,5,中山
202006010105,シークレットローザ,三浦皇成,4,2:02.4,100.7,1-1-1-1,6,452,-8,牝,3,54,36.6,9,3歳1勝クラス,2020年1月5日,1回中山1日目,3歳1勝クラス,芝,2000,右,良,晴,5,中山
202006010105,ヒシエレガンス,Ｍ．デム,3,2:02.5,9.4,6-6-8-7,7,490,2,牡,3,56,36.0,3,3歳1勝クラス,2020年1月5日,1回中山1日目,3歳1勝クラス,芝,2000,右,良,晴,5,中山
202006010105,マイネルミンドール,ミナリク,10,2:03.0,25.7,3-3-3-4,8,446,4,牡,3,56,37.0,7,3歳1勝クラス,2020年1月5日,1回中山1日目,3歳1勝クラス,芝,2000,右,良,晴,5,中山
202006010105,コスモスタック,野中悠太,2,2:03.1,65.7,6-6-6-7,9,456,6,牡,3,55,36.8,8,3歳1勝クラス,2020年1月5日,1回中山1日目,3歳1勝クラス,芝,2000,右,良,晴,5,中山
202006010105,ガッツ,杉原誠人,7,2:04.1,311.3,10-9-8-10,10,486,0,牡,3,56,37.6,10,3歳1勝クラス,2020年1月5日,1回中山1日目,3歳1勝クラス,芝,2000,右,良,晴,5,中山
202006010106,サクラルーフェン,石橋脩,8,1:55.3,1.7,1-1-1-1,1,452,0,牡,4,56,39.5,1,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,キングスバレイ,木幡巧也,14,1:56.0,5.3,3-3-2-2,2,514,2,牡,4,56,40.0,3,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,ベルジュネス,丹内祐次,10,1:56.4,90.5,7-7-9-9,3,450,8,セ,4,56,39.7,9,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,アールグランツ,横山武史,15,1:56.7,22.9,5-4-4-3,4,474,-8,牡,4,56,40.5,5,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,カウンターエア,津村明秀,5,1:57.0,4.8,14-14-13-9,5,566,8,牡,4,56,40.0,2,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,ホーカスポーカス,丸山元気,6,1:57.0,14.0,8-7-6-5,6,434,4,牡,5,57,40.6,4,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,ビービーデフィ,西田雄一,9,1:57.1,27.4,12-12-4-3,7,500,4,セ,5,57,41.0,7,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,ボーイズオブサマー,柴田大知,2,1:57.5,122.5,13-12-14-13,8,516,18,牡,4,56,40.3,11,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,ヒロノライデン,丸田恭介,7,1:57.6,148.3,5-4-6-8,9,486,-2,牡,5,57,41.1,12,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,トラストシンゲン,菅原明良,13,1:57.9,94.1,15-15-15-13,10,510,0,牡,4,54,40.5,10,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,クラウドスケープ,黛弘人,3,1:58.0,149.5,10-10-9-7,11,476,0,牡,4,56,41.4,14,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,アララトテソーロ,藤田菜七,4,1:58.0,27.1,10-11-11-12,12,488,16,牡,4,53,41.2,6,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,ウイニングメイビー,大野拓弥,1,1:58.6,40.2,3-4-6-9,13,488,22,牡,4,56,42.2,8,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,グーガルラヴィ,嶋田純次,11,1:58.7,148.7,2-2-2-5,14,508,-2,セ,4,56,42.7,13,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010106,ファントムメナス,菅原隆一,12,1:58.7,344.8,9-9-11-15,15,542,16,牡,5,57,41.9,15,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
202006010107,サトノセシル,大野拓弥,1,2:01.4,5.4,3-2-4-3,1,452,4,牝,4,54,34.9,2,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,ペレ,マーフィ,8,2:01.7,2.2,8-7-7-7,2,450,4,牝,4,54,35.0,1,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,ガロシェ,田辺裕信,16,2:01.8,9.0,8-10-10-9,3,450,6,牝,4,54,35.0,5,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,マイネルエキサイト,柴田大知,5,2:01.8,168.7,5-5-4-3,4,486,2,牡,4,56,35.3,15,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,シトラスクーラー,菅原明良,14,2:01.8,45.8,11-15-12-11,5,462,8,セ,7,55,34.8,11,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,イルーシヴグレイス,Ｍ．デム,13,2:01.9,27.5,2-2-2-2,6,416,-2,牝,5,55,35.6,8,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,マリノジュリア,杉原誠人,12,2:02.1,77.0,1-1-1-1,7,434,-4,牝,4,54,35.9,12,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,カナロアガール,北村宏司,15,2:02.3,17.4,6-7-6-3,8,470,8,牝,4,54,35.7,6,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,メイオール,津村明秀,6,2:02.4,29.9,11-12-12-13,9,456,4,牝,4,54,35.3,9,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,フィデリオグリーン,野中悠太,11,2:02.5,8.9,14-15-7-7,10,504,12,牡,4,55,35.8,4,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,ミチビキ,藤田菜七,9,2:02.7,78.2,10-10-12-13,11,500,16,牝,4,51,35.7,13,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,ヤップヤップヤップ,丸田恭介,2,2:03.1,22.9,11-9-11-11,12,464,6,牡,4,56,36.2,7,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,ジュピターズライト,丸山元気,7,2:04.3,6.7,3-2-3-3,13,466,14,牡,4,56,37.9,3,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,オーサムバローズ,フォーリ,4,2:04.6,156.7,15-12-15-16,14,496,-12,セ,6,57,37.3,14,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,ラッキーアドバンス,大塚海渡,3,,318.7,6-5-7-9,15,492,14,牡,6,54,,16,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010107,スズロザーナ,三浦皇成,10,,39.7,15-12-15-13,16,428,0,牝,4,54,,10,4歳以上1勝クラス,2020年1月5日,1回中山1日目,4歳以上1勝クラス,芝,2000,右,良,晴,5,中山
202006010108,ロンドンテソーロ,石橋脩,3,1:10.9,5.1,1-1,1,506,4,牡,4,56,37.7,1,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,エアコンヴィーナ,藤田菜七,6,1:11.5,16.9,6-5,2,456,4,牝,5,52,37.7,7,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,キタノオドリコ,ミナリク,1,1:11.7,28.5,9-7,3,492,10,牝,4,54,37.7,11,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,ルーチェソラーレ,大野拓弥,16,1:11.8,7.4,9-11,4,500,8,牝,5,55,37.8,5,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,コウギョウブライト,Ｍ．デム,12,1:11.9,5.3,6-10,5,474,20,牡,5,57,38.1,2,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,スマートマルシェ,マーフィ,13,1:11.9,6.5,3-3,6,482,0,牝,4,54,38.5,4,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,レヴァンテ,横山典弘,14,1:12.0,24.5,14-14,7,490,8,牡,5,57,37.4,10,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,グラスレオ,菅原明良,11,1:12.1,23.9,12-11,8,506,6,牡,5,55,37.7,9,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,オレノマニラ,柴田善臣,5,1:12.2,48.1,12-11,9,438,6,牡,5,57,37.8,13,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,パイロジェン,田辺裕信,2,1:12.2,5.8,9-7,10,458,6,牡,4,56,38.2,3,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,カフェライジング,横山和生,9,1:12.2,9.2,2-2,11,516,6,牡,8,57,38.9,6,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,リガス,津村明秀,10,1:12.4,31.0,6-5,12,520,-10,牡,6,57,38.7,12,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,タンタラスノオカ,フォーリ,7,1:12.6,79.4,15-14,13,520,10,牡,7,57,37.9,14,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,アストロローグ,野中悠太,8,1:12.6,110.8,15-16,14,492,6,セ,5,56,37.8,16,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,ザベストエバー,横山武史,4,1:12.9,91.0,3-3,15,466,4,牡,6,57,39.5,15,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010108,セイウンリリシイ,武藤雅,15,1:13.1,22.6,5-7,16,478,12,牝,5,55,39.6,8,4歳以上2勝クラス,2020年1月5日,1回中山1日目,4歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
202006010109,ミッキーポジション,菊沢一樹,12,1:53.2,8.4,2-2-2-2,1,504,10,牡,5,56,37.7,5,招福ステークス ,2020年1月5日,1回中山1日目,4歳以上3勝クラス,ダ,1800,右,良,晴,5,中山
202006010109,エムオーグリッタ,津村明秀,11,1:53.3,7.9,1-1-1-1,2,502,8,牡,6,55,37.9,4,招福ステークス ,2020年1月5日,1回中山1日目,4歳以上3勝クラス,ダ,1800,右,良,晴,5,中山
